2021-04-03 09:53:18 *** Log File opened
2021-04-03 09:53:28 (3) GET 404 /v1/packages/Example-Constants-1.0.0?aggregate=1; 
2021-04-03 09:53:37 (4) GET 404 /v1/packages/Math?aggregate=1; Package not found
2021-04-03 09:53:38 (5) GET 404 /v1/packages/MyDepartment-Math-2.0.0?aggregate=1; 
2021-04-03 09:54:08 (6) GET 200 /
2021-04-03 09:54:08 (7) GET 404 /aplteam-DoesNotExist-1.9.2; 
2021-04-03 09:54:08 (8) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-04-03 09:54:09 (9) GET 404 /does_not_exist; 
2021-04-03 09:54:09 (10) GET 200 /index.html
2021-04-03 09:54:09 (11) Request came from invalid version of Tatin. Minimum version required is 0.33
2021-04-03 09:54:10 (13) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.2
2021-04-03 09:54:10 (14) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-04-03 09:54:10 (15) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-04-03 09:54:10 (16) GET 200 /aplteam-IniFiles-4.0.0
2021-04-03 09:54:11 (17) GET 200 /aplteam-OS-2.0.0
2021-04-03 09:54:11 (18) GET 200 /aplteam-Tester2-2.2.2
2021-04-03 09:54:11 (19) GET 200 /aplteam-WinSys-4.0.0
2021-04-03 09:54:12 (20) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.12
2021-04-03 09:54:12 (21) GET 200 /aplteam-FilesAndDirs-3.2.12
2021-04-03 09:54:12 (22) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-04-03 09:54:12 (23) GET 200 /aplteam-IniFiles-4.0.0
2021-04-03 09:54:13 (24) GET 200 /aplteam-OS-2.0.0
2021-04-03 09:54:13 (25) GET 200 /aplteam-Tester2-2.2.2
2021-04-03 09:54:13 (26) GET 200 /aplteam-WinSys-4.0.0
2021-04-03 09:54:14 (27) GET 200 /aplteam-FilesAndDirs-3.2.1
2021-04-03 09:54:14 (28) GET 200 /v1/packages/*?aggregate=1
2021-04-03 09:54:15 (29) GET 200 /v1/packages/versions/aplteam-APLProcess-0.2
2021-04-03 09:54:15 (30) GET 200 /v1/packages/versions/aplteam-APLProcess-1.0
2021-04-03 09:54:15 (31) GET 200 /v1/tags/
2021-04-03 09:54:15 (32) GET 200 /v1/packages/*?aggregate=1
2021-04-03 09:54:15 (33) GET 200 /v1/packages/*?tags=winndow&aggregate=1
2021-04-03 09:54:15 (34) GET 200 /v1/packages/*?group=aplteam&tags=winndow&aggregate=1
2021-04-03 09:54:16 (35) GET 200 /v1/get-server-path
2021-04-03 10:02:24 (36) GET 200 /v1/recompile-index
2021-04-03 10:16:38 (37) GET 200 /v1/get-server-path
2021-04-03 10:18:51 (38) GET 200 /v1/recompile-index
2021-04-03 10:19:01 (39) GET 200 /v1/get-server-path
2021-04-03 10:19:06 (40) PUT 401 Example-Package_A-0.1.0-beta-2; Unauthorized request
2021-04-03 10:19:26 (41) GET 200 /v1/recompile-index
2021-04-03 10:19:37 (42) GET 200 /v1/get-server-path
2021-04-03 10:19:37 (43) PUT 401 Example-Package_A-0.1.0; Unauthorized request
2021-04-03 10:24:01 *** Log File opened
2021-04-03 10:24:23 (3) GET 404 /v1/packages/Example-Constants-1.0.0?aggregate=1; 
2021-04-03 10:24:32 (4) GET 404 /v1/packages/Math?aggregate=1; Package not found
2021-04-03 10:24:34 (5) GET 404 /v1/packages/MyDepartment-Math-2.0.0?aggregate=1; 
2021-04-03 10:39:38 (6) GET 404 /v1/packages/Example-Constants-1.0.0?aggregate=1; 
2021-04-03 10:39:47 (7) GET 404 /v1/packages/Math?aggregate=1; Package not found
2021-04-03 10:39:48 (8) GET 404 /v1/packages/MyDepartment-Math-2.0.0?aggregate=1; 
2021-04-03 10:40:05 (9) GET 200 /
2021-04-03 10:40:05 (10) GET 404 /aplteam-DoesNotExist-1.9.2; 
2021-04-03 10:40:05 (11) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-04-03 10:40:05 (12) GET 404 /does_not_exist; 
2021-04-03 10:40:05 (13) GET 200 /index.html
2021-04-03 10:40:05 (14) Request came from invalid version of Tatin. Minimum version required is 0.33
2021-04-03 10:40:06 (16) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.2
2021-04-03 10:40:06 (17) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-04-03 10:40:06 (18) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-04-03 10:40:07 (19) GET 200 /aplteam-IniFiles-4.0.0
2021-04-03 10:40:07 (20) GET 200 /aplteam-OS-2.0.0
2021-04-03 10:40:07 (21) GET 200 /aplteam-Tester2-2.2.2
2021-04-03 10:40:07 (22) GET 200 /aplteam-WinSys-4.0.0
2021-04-03 10:40:08 (23) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.12
2021-04-03 10:40:08 (24) GET 200 /aplteam-FilesAndDirs-3.2.12
2021-04-03 10:40:09 (25) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-04-03 10:40:09 (26) GET 200 /aplteam-IniFiles-4.0.0
2021-04-03 10:40:09 (27) GET 200 /aplteam-OS-2.0.0
2021-04-03 10:40:09 (28) GET 200 /aplteam-Tester2-2.2.2
2021-04-03 10:40:10 (29) GET 200 /aplteam-WinSys-4.0.0
2021-04-03 10:40:10 (30) GET 200 /aplteam-FilesAndDirs-3.2.1
2021-04-03 10:40:11 (31) GET 200 /v1/packages/*?aggregate=1
2021-04-03 10:40:11 (32) GET 200 /v1/packages/versions/aplteam-APLProcess-0.2
2021-04-03 10:40:11 (33) GET 200 /v1/packages/versions/aplteam-APLProcess-1.0
2021-04-03 10:40:11 (34) GET 200 /v1/tags/
2021-04-03 10:40:11 (35) GET 200 /v1/packages/*?aggregate=1
2021-04-03 10:40:12 (36) GET 200 /v1/packages/*?tags=winndow&aggregate=1
2021-04-03 10:40:12 (37) GET 200 /v1/packages/*?group=aplteam&tags=winndow&aggregate=1
2021-04-03 10:40:12 (38) GET 200 /v1/get-server-path
2021-04-03 10:40:12 (39) PUT 200 Example-Package_A-0.1.0-beta-2
2021-04-03 10:40:13 (40) GET 200 /v1/recompile-index
2021-04-03 10:40:13 (41) GET 200 /v1/get-server-path
2021-04-03 10:40:13 (42) PUT 200 Example-Package_A-0.1.0
2021-04-03 10:40:14 (43) GET 200 /v1/recompile-index
2021-04-03 10:40:14 (44) GET 200 /v1/get-server-path
2021-04-03 10:40:14 (45) PUT 200 Example-Package_A-0.1.0
2021-04-03 10:40:15 (46) GET 200 /v1/recompile-index
2021-04-03 10:40:15 (47) GET 200 /v1/get-server-path
2021-04-03 10:40:15 (48) PUT 200 Example-Package_A-0.1.0
2021-04-03 10:40:15 (49) GET 200 /v1/packages/dependencies/Example-Package_A-0.1.0
2021-04-03 10:40:16 (50) GET 200 /Example-Package_A-0.1.0
2021-04-03 10:40:16 (51) GET 200 /v1/recompile-index
2021-04-03 10:40:16 (52) GET 200 /v1/get-server-path
2021-04-03 10:40:17 (53) PUT 200 Example-Package_A-0.1.0
