2021-04-09 07:06:42 *** Log File opened
2021-04-09 07:07:33 (3) GET 200 /v1/get-server-path
2021-04-09 07:21:38 (4) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.10
2021-04-09 07:21:38 (5) GET 200 /aplteam-APLProcess-0.2.10
2021-04-09 07:21:38 (6) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-04-09 07:21:38 (7) GET 200 /v1/packages/dependencies/Example-Boo-1.0.0
2021-04-09 07:21:39 (8) GET 200 /Example-Boo-1.0.0
2021-04-09 07:21:39 (9) GET 200 /aplteam-APLProcess-0.3.0
2021-04-09 07:24:23 (10) GET 404 /v1/packages/Example-Constants-1.0.0?aggregate=1; 
2021-04-09 07:24:34 (11) GET 404 /v1/packages/Math?aggregate=1; Package not found
2021-04-09 07:24:36 (12) GET 404 /v1/packages/MyDepartment-Math-2.0.0?aggregate=1; 
2021-04-09 07:34:04 (13) GET 200 /
2021-04-09 07:34:06 (14) GET 404 /aplteam-DoesNotExist-1.9.2; 
2021-04-09 07:34:06 (15) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-04-09 07:34:25 (16) GET 404 /does_not_exist; 
2021-04-09 07:37:33 (17) GET 200 /index.html
2021-04-09 07:37:36 (18) Request came from invalid version of Tatin. Minimum version required is 0.33
2021-04-09 07:37:51 (20) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.2
2021-04-09 07:37:51 (21) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-04-09 07:37:52 (22) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-04-09 07:37:52 (23) GET 200 /aplteam-IniFiles-4.0.0
2021-04-09 07:37:52 (24) GET 200 /aplteam-OS-2.0.0
2021-04-09 07:37:53 (25) GET 200 /aplteam-Tester2-2.2.2
2021-04-09 07:37:53 (26) GET 200 /aplteam-WinSys-4.0.0
2021-04-09 07:37:54 (27) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.12
2021-04-09 07:37:54 (28) GET 200 /aplteam-FilesAndDirs-3.2.12
2021-04-09 07:37:54 (29) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-04-09 07:37:55 (30) GET 200 /aplteam-IniFiles-4.0.0
2021-04-09 07:37:55 (31) GET 200 /aplteam-OS-2.0.0
2021-04-09 07:37:55 (32) GET 200 /aplteam-Tester2-2.2.2
2021-04-09 07:37:56 (33) GET 200 /aplteam-WinSys-4.0.0
2021-04-09 07:37:56 (34) GET 200 /aplteam-FilesAndDirs-3.2.1
2021-04-09 07:37:57 (35) GET 200 /v1/packages/*?aggregate=1
2021-04-09 07:37:57 (36) GET 200 /v1/packages/versions/aplteam-APLProcess-0.2
2021-04-09 07:37:57 (37) GET 200 /v1/packages/versions/aplteam-APLProcess-1.0
2021-04-09 07:37:57 (38) GET 200 /v1/tags/
2021-04-09 07:37:58 (39) GET 200 /v1/packages/*?aggregate=1
2021-04-09 07:37:58 (40) GET 200 /v1/packages/*?tags=winndow&aggregate=1
2021-04-09 07:37:58 (41) GET 200 /v1/packages/*?group=aplteam&tags=winndow&aggregate=1
2021-04-09 07:37:58 (42) GET 200 /v1/get-server-path
2021-04-09 07:38:00 (43) PUT 200 Example-Package_A-0.1.0-beta-2
2021-04-09 07:38:19 (44) GET 200 /v1/recompile-index
2021-04-09 07:38:20 (45) GET 200 /v1/get-server-path
2021-04-09 07:38:21 (46) PUT 200 Example-Package_A-0.1.0
2021-04-09 07:38:21 (47) GET 200 /v1/recompile-index
2021-04-09 07:38:22 (48) GET 200 /v1/get-server-path
2021-04-09 07:38:22 (49) PUT 200 Example-Package_A-0.1.0
2021-04-09 07:38:23 (50) GET 200 /v1/recompile-index
2021-04-09 07:38:23 (51) GET 200 /v1/get-server-path
2021-04-09 07:38:23 (52) PUT 200 Example-Package_A-0.1.0
2021-04-09 07:38:23 (53) GET 200 /v1/packages/dependencies/Example-Package_A-0.1.0
2021-04-09 07:38:23 (54) GET 200 /Example-Package_A-0.1.0
2021-04-09 07:38:24 (55) GET 200 /v1/recompile-index
2021-04-09 07:38:24 (56) GET 200 /v1/get-server-path
2021-04-09 07:38:25 (57) PUT 200 Example-Package_A-0.1.0
2021-04-09 07:38:25 (58) PUT 400 Example-Package_A-0.1.0; The package has already been published
2021-04-09 07:38:25 (59) GET 200 /v1/recompile-index
2021-04-09 07:38:25 (60) GET 200 /v1/packages/dependencies/example-Zoo-3.0.0
2021-04-09 07:38:25 (61) GET 200 /v1/packages/dependencies/elsewhere-Boo-3.1.2
2021-04-09 07:38:26 (62) GET 200 /v1/packages/dependencies/elsewhere-strange-1.0.0
2021-04-09 07:38:48 (63) GET 200 /v1/packages/best_version/aplteam-APLProcess-0
2021-04-09 07:38:50 (64) GET 200 /v1/get-server-path
2021-04-09 07:40:13 (65) GET 200 /v1/packages/best_version/aplteam-APLProcess-0
2021-04-09 07:40:14 (66) GET 200 /v1/get-server-path
2021-04-09 07:40:16 (67) GET 200 /v1/packages/best_version/aplteam-APLProcess-0.2
2021-04-09 07:40:16 (68) GET 200 /v1/get-server-path
2021-04-09 07:40:43 (69) GET 200 /v1/packages/best_version/aplteam-APLProcess-0.2
2021-04-09 07:40:44 (70) GET 200 /v1/get-server-path
2021-04-09 07:40:45 (71) GET 200 /v1/packages/best_version/aplteam-APLProcess-0.2.11
2021-04-09 07:41:06 (72) GET 200 /v1/packages/best_version/aplteam-APLProcess-0.2.11
2021-04-09 07:41:08 (73) GET 200 /v1/packages/best_version/example-versions-1
