2021-03-30 11:49:09 *** Log File opened
2021-03-30 12:32:00 (3) GET 200 /
2021-03-30 12:32:00 (4) GET 404 /aplteam-DoesNotExist-1.9.2; 
2021-03-30 12:32:00 (5) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-03-30 12:32:00 (6) GET 404 /does_not_exist; 
2021-03-30 12:32:00 (7) GET 200 /index.html
2021-03-30 12:32:01 (8) Request came from invalid version of Tatin. Minimum version required is 0.33
2021-03-30 12:32:02 (10) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.2
2021-03-30 12:32:02 (11) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-03-30 12:32:02 (12) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-03-30 12:32:03 (13) GET 200 /aplteam-IniFiles-4.0.0
2021-03-30 12:32:03 (14) GET 200 /aplteam-OS-2.0.0
2021-03-30 12:32:03 (15) GET 200 /aplteam-Tester2-2.2.2
2021-03-30 12:32:04 (16) GET 200 /aplteam-WinSys-4.0.0
2021-03-30 12:32:04 (17) GET 200 /v1/packages/*?aggregate=1
2021-03-30 12:32:04 (18) GET 200 /v1/packages/versions/aplteam-APLProcess-0.2
2021-03-30 12:32:04 (19) GET 200 /v1/packages/versions/aplteam-APLProcess-1.0
2021-03-30 12:32:05 (20) GET 200 /v1/tags/
2021-03-30 12:32:05 (21) GET 200 /v1/packages/*?aggregate=1
2021-03-30 12:32:05 (22) GET 200 /v1/packages/*?tags=winndow&aggregate=1
2021-03-30 12:32:05 (23) GET 200 /v1/packages/*?group=aplteam&tags=winndow&aggregate=1
2021-03-30 12:32:05 (24) GET 200 /v1/get-server-path
2021-03-30 12:32:06 (25) PUT 200 Example-Package_A-0.1.0-beta-2
2021-03-30 12:32:06 (26) GET 200 /v1/recompile-index
2021-03-30 12:32:06 (27) GET 200 /v1/get-server-path
2021-03-30 12:32:07 (28) PUT 200 Example-Package_A-0.1.0
2021-03-30 12:32:07 (29) GET 200 /v1/recompile-index
2021-03-30 12:32:08 (30) GET 200 /v1/get-server-path
2021-03-30 12:32:08 (31) PUT 200 Example-Package_A-0.1.0
2021-03-30 12:32:08 (32) GET 200 /v1/recompile-index
2021-03-30 12:32:09 (33) GET 200 /v1/get-server-path
2021-03-30 12:32:09 (34) PUT 200 Example-Package_A-0.1.0
2021-03-30 12:32:09 (35) GET 200 /v1/packages/dependencies/Example-Package_A-0.1.0
2021-03-30 12:32:09 (36) GET 200 /Example-Package_A-0.1.0
2021-03-30 12:32:10 (37) GET 200 /v1/recompile-index
2021-03-30 12:32:10 (38) GET 200 /v1/get-server-path
2021-03-30 12:32:10 (39) PUT 200 Example-Package_A-0.1.0
2021-03-30 12:32:11 (40) PUT 400 Example-Package_A-0.1.0; The package has already been published
2021-03-30 12:32:11 (41) GET 200 /v1/recompile-index
2021-03-30 12:32:11 (42) GET 200 /v1/packages/dependencies/example-Zoo-3.0.0
2021-03-30 12:32:11 (43) GET 200 /v1/packages/dependencies/elsewhere-Boo-3.1.2
2021-03-30 12:32:11 (44) GET 200 /v1/packages/dependencies/elsewhere-strange-1.0.0
2021-03-30 12:32:12 (45) GET 200 /v1/packages/best_version/aplteam-APLProcess-0
2021-03-30 12:32:12 (46) GET 200 /v1/packages/best_version/aplteam-APLProcess-0.2
2021-03-30 12:32:12 (47) GET 200 /v1/packages/best_version/aplteam-APLProcess-0.2.11
2021-03-30 12:32:14 (48) GET 200 /v1/packages/aplteam-APLProcess-0.2.12?aggregate=1
2021-03-30 12:32:14 (49) GET 200 /v1/packages/best_version/example-versions-1
2021-03-30 12:32:15 (50) GET 200 v1/packages/details/aplteam-OS-2.0.0
2021-03-30 12:32:15 (51) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.4
2021-03-30 12:32:15 (52) GET 200 /aplteam-APLProcess-0.2.4
2021-03-30 12:32:15 (53) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-03-30 12:32:16 (54) GET 200 /v1/packages/aplteam-APLProcess-0.2.4?aggregate=1
2021-03-30 12:32:16 (55) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.4
2021-03-30 12:32:16 (56) GET 200 /aplteam-APLProcess-0.2.4
2021-03-30 12:32:17 (57) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-03-30 12:32:17 (58) GET 200 /v1/packages/best_version/aplteam-APLProcess-0
2021-03-30 12:32:17 (59) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.3.0
2021-03-30 12:32:17 (60) GET 200 /aplteam-APLProcess-0.3.0
2021-03-30 12:32:18 (61) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-03-30 12:32:18 (62) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.4
2021-03-30 12:32:18 (63) GET 200 /aplteam-APLProcess-0.2.4
2021-03-30 12:32:19 (64) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-03-30 12:32:19 (65) GET 200 /
2021-03-30 12:32:19 (66) GET 200 /v1/packages
2021-03-30 12:32:20 (67) GET 200 /v1/groups
2021-03-30 12:32:20 (68) GET 200 /v1/packages/versions/aplteam-APLTreeUtils
2021-03-30 12:32:20 (69) GET 200 /v1/packages/details/aplteam-APLTreeUtils
2021-03-30 12:32:20 (70) GET 200 /v1/packages/details/aplteam-APLTreeUtils-6
2021-03-30 12:32:20 (71) GET 200 /Assets/img/tatin.png
2021-03-30 12:32:20 (72) GET 200 /Assets/CSS/MarkAPL_screen.css
2021-03-30 12:32:21 (73) PATCH 501 /Foo; Not implemented
2021-03-30 12:32:21 (74) GET 200 /v1/packages/details/aplteam-APLProcess
2021-03-30 12:32:21 (75) GET 200 /v1/packages/details/aplteam-APLProcess-0
2021-03-30 12:32:21 (76) GET 200 /v1/packages/details/aplteam-APLProcess-0.2
2021-03-30 12:32:21 (77) GET 200 /v1/packages/details/aplteam-APLProcess-0.2.9
2021-03-30 12:32:22 (79) GET 200 /v1/tags
2021-03-30 12:32:22 (80) GET 200 /v1/packages/major_versions/aplteam-APLProcess
2021-03-30 12:32:22 (81) GET 200 /v1/version-information
2021-03-30 12:32:22 (82) GET 200 /v1/documentation
2021-03-30 12:32:22 (83) GET 200 /v1/all_packages
2021-03-30 12:32:22 (84) GET 200 /v1/version
2021-03-30 12:32:23 (85) GET 200 /v1/get-server-path
2021-03-30 12:32:23 (86) PUT 401 Example-Package_A-0.1.0; Unauthorized request
2021-03-30 12:32:23 (87) GET 200 /v1/recompile-index
2021-03-30 12:32:23 (88) GET 200 /v1/get-server-path
2021-03-30 12:32:23 (89) PUT 401 protected-Package_A-0.1.0; Unauthorized request
2021-03-30 12:32:24 (90) GET 200 /v1/recompile-index
2021-03-30 12:32:24 (91) GET 200 /v1/get-server-path
2021-03-30 12:32:24 (92) PUT 200 test-Package_A-0.1.0
2021-03-30 12:32:24 (93) DELETE 401 test-Package_A-0.1.0; Unauthorized request
2021-03-30 12:32:25 (94) GET 200 /v1/recompile-index
2021-03-30 12:32:25 (95) GET 200 /v1/get-server-path
2021-03-30 12:32:25 (96) PUT 200 test-Package_A-0.1.0
2021-03-30 12:32:25 (97) GET 200 /v1/packages/*?aggregate=0
2021-03-30 12:32:26 (98) PUT 200 v1/set-delete-policy
2021-03-30 12:32:26 (99) DELETE 200 test-Package_A-0.1.0
2021-03-30 12:32:26 (100) GET 200 /v1/packages/*?aggregate=0
2021-03-30 12:32:26 (101) PUT 200 v1/set-delete-policy
2021-03-30 12:32:26 (102) GET 200 /v1/recompile-index
2021-03-30 12:32:27 (103) GET 200 /v1/get-server-path
2021-03-30 12:32:27 (104) PUT 200 test-Package_A-0.1.0
2021-03-30 12:32:27 (105) PUT 200 v1/set-delete-policy
2021-03-30 12:32:27 (106) DELETE 405 test-Package_A-0.1.0; This server allows only beta packages to be deleted
2021-03-30 12:32:27 (107) PUT 200 v1/set-delete-policy
2021-03-30 12:32:28 (108) GET 200 /v1/get-server-path
2021-03-30 12:32:28 (109) PUT 200 test-Package_A-0.1.0-alpha-1
2021-03-30 12:32:28 (110) GET 200 /v1/recompile-index
2021-03-30 12:32:28 (111) GET 200 /v1/packages/*?aggregate=0
2021-03-30 12:32:29 (112) PUT 200 v1/set-delete-policy
