2021-03-28 12:04:16 *** Log File opened
2021-03-28 12:04:39 (3) GET 200 v1/delete-policy
2021-03-28 12:27:50 *** Log File opened
2021-03-28 15:17:48 *** Log File opened
2021-03-28 15:39:33 (5) GET 200 /v1/packages/*?aggregate=1
2021-03-28 15:39:41 (6) GET 200 /v1/tags/
2021-03-28 17:12:06 *** Log File opened
2021-03-28 17:12:13 (3) GET 200 /
2021-03-28 17:12:14 (4) GET 404 /aplteam-DoesNotExist-1.9.2; 
2021-03-28 17:12:14 (5) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-03-28 17:12:14 (6) GET 404 /does_not_exist; 
2021-03-28 17:12:14 (7) GET 200 /index.html
2021-03-28 17:12:14 (8) Request came from invalid version of Tatin. Minimum version required is 0.31
2021-03-28 17:13:03 (10) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.2
2021-03-28 17:13:03 (11) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-03-28 17:13:03 (12) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-03-28 17:13:04 (13) GET 200 /aplteam-IniFiles-4.0.0
2021-03-28 17:13:04 (14) GET 200 /aplteam-OS-2.0.0
2021-03-28 17:13:04 (15) GET 200 /aplteam-Tester2-2.2.2
2021-03-28 17:13:04 (16) GET 200 /aplteam-WinSys-4.0.0
2021-03-28 17:13:05 (17) GET 200 /v1/packages/*?aggregate=1
2021-03-28 17:13:05 (18) GET 200 /v1/packages/versions/aplteam-APLProcess-0.2
2021-03-28 17:13:05 (19) GET 200 /v1/packages/versions/aplteam-APLProcess-1.0
2021-03-28 17:13:05 (20) GET 200 /v1/tags/
2021-03-28 17:13:05 (21) GET 200 /v1/packages/*?aggregate=1
2021-03-28 17:13:06 (22) GET 200 /v1/packages/*?tags=winndow&aggregate=1
2021-03-28 17:13:06 (23) GET 200 /v1/packages/*?group=aplteam&tags=winndow&aggregate=1
2021-03-28 17:13:06 (24) GET 200 /v1/get-server-path
2021-03-28 17:13:06 (25) PUT 200 Example-Package_A-0.1.0-beta-2
2021-03-28 17:13:07 (26) GET 200 /v1/recompile-index
2021-03-28 17:13:07 (27) GET 200 /v1/get-server-path
2021-03-28 17:13:07 (28) PUT 200 Example-Package_A-0.1.0
2021-03-28 17:13:08 (29) GET 200 /v1/recompile-index
2021-03-28 17:13:08 (30) GET 200 /v1/get-server-path
2021-03-28 17:13:08 (31) PUT 200 Example-Package_A-0.1.0
2021-03-28 17:13:09 (32) GET 200 /v1/recompile-index
2021-03-28 17:13:09 (33) GET 200 /v1/get-server-path
2021-03-28 17:13:09 (34) PUT 200 Example-Package_A-0.1.0
2021-03-28 17:13:10 (35) GET 200 /v1/packages/dependencies/Example-Package_A-0.1.0
