2021-05-23 20:14:54 *** Log File opened
2021-05-23 20:22:15 *** Log File opened
2021-05-23 20:26:49 (3) GET 200 /v1/get-server-path
2021-05-23 20:28:57 (4) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.10
2021-05-23 20:28:57 (5) GET 200 /aplteam-APLProcess-0.2.10
2021-05-23 20:28:57 (6) GET 200 /v1/packages/dependencies/Example-Boo-1.0.0
2021-05-23 20:28:58 (7) GET 200 /Example-Boo-1.0.0
2021-05-23 20:29:05 (8) GET 404 /v1/packages/Example-Constants-1.0.0?aggregate=1; 
2021-05-23 20:29:12 (9) GET 404 /v1/packages/Math?aggregate=1; Package not found
2021-05-23 20:29:13 (10) GET 404 /v1/packages/MyDepartment-Math-2.0.0?aggregate=1; 
2021-05-23 20:30:12 (11) GET 200 /
2021-05-23 20:30:12 (12) GET 404 /aplteam-DoesNotExist-1.9.2; 
2021-05-23 20:30:13 (13) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-05-23 20:30:13 (14) GET 404 /does_not_exist; 
2021-05-23 20:41:06 (15) GET 200 /index.html
2021-05-23 20:41:29 (16) Request came from invalid version of Tatin. Minimum version required is 0.4
2021-05-23 20:41:31 (18) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.2
2021-05-23 20:41:31 (19) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-05-23 20:41:33 (20) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.12
2021-05-23 20:41:33 (21) GET 200 /aplteam-FilesAndDirs-3.2.12
2021-05-23 20:41:35 (22) GET 200 /v1/packages/*?aggregate=1
2021-05-23 20:41:35 (23) GET 200 /v1/packages/versions/aplteam-APLProcess-0.2
2021-05-23 20:41:36 (24) GET 200 /v1/packages/versions/aplteam-APLProcess-1.0
2021-05-23 20:41:36 (25) GET 200 /v1/tags/
2021-05-23 20:41:36 (26) GET 200 /v1/packages/*?aggregate=1
2021-05-23 20:41:36 (27) GET 200 /v1/packages/*?tags=winndow&aggregate=1
2021-05-23 20:41:37 (28) GET 200 /v1/packages/*?group=aplteam&tags=winndow&aggregate=1
2021-05-23 20:41:37 (29) GET 200 /v1/get-server-path
2021-05-23 20:55:23 (30) PUT 200 Example-Package_A-0.1.0-beta-2
2021-05-23 20:55:28 (31) GET 200 /v1/recompile-index
2021-05-23 20:55:28 (32) GET 200 /v1/get-server-path
2021-05-23 20:55:29 (33) PUT 200 Example-Package_A-0.1.0
2021-05-23 20:55:29 (34) GET 200 /v1/recompile-index
2021-05-23 20:55:30 (35) GET 200 /v1/get-server-path
2021-05-23 20:55:30 (36) PUT 200 Example-Package_A-0.1.0
2021-05-23 20:55:31 (37) GET 200 /v1/recompile-index
2021-05-23 20:55:31 (38) GET 200 /v1/get-server-path
2021-05-23 20:55:31 (39) PUT 200 Example-Package_A-0.1.0
2021-05-23 20:55:31 (40) GET 200 /v1/packages/dependencies/Example-Package_A-0.1.0
2021-05-23 20:55:31 (41) GET 200 /Example-Package_A-0.1.0
2021-05-23 20:55:32 (42) GET 200 /v1/recompile-index
2021-05-23 20:55:32 (43) GET 200 /v1/get-server-path
2021-05-23 20:55:32 (44) PUT 200 Example-Package_A-0.1.0
2021-05-23 20:55:33 (45) PUT 400 Example-Package_A-0.1.0; The package has already been published
2021-05-23 20:55:33 (46) GET 200 /v1/recompile-index
2021-05-23 20:55:33 (47) GET 200 /v1/packages/dependencies/example-Zoo-3.0.0
2021-05-23 20:55:33 (48) GET 200 /v1/packages/dependencies/elsewhere-Boo-3.1.2
2021-05-23 20:55:33 (49) GET 200 /v1/packages/dependencies/elsewhere-strange-1.0.0
2021-05-23 20:55:34 (50) GET 200 /v1/packages/best_version/aplteam-APLProcess-0
2021-05-23 20:55:34 (51) GET 200 /v1/get-server-path
2021-05-23 20:55:34 (52) GET 200 /v1/packages/best_version/aplteam-APLProcess-0.2
2021-05-23 20:55:34 (53) GET 200 /v1/get-server-path
2021-05-23 20:55:34 (54) GET 200 /v1/packages/best_version/aplteam-APLProcess-0.2.11
2021-05-23 20:55:34 (55) GET 200 /v1/packages/best_version/example-versions-1
2021-05-23 20:55:35 (56) GET 200 v1/packages/details/aplteam-OS-2.0.0
2021-05-23 20:55:35 (57) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.4
2021-05-23 20:55:35 (58) GET 200 /aplteam-APLProcess-0.2.4
2021-05-23 20:55:37 (59) GET 200 /v1/packages/aplteam-APLProcess-0.2.4?aggregate=1
2021-05-23 20:55:37 (60) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.4
2021-05-23 20:55:37 (61) GET 200 /v1/packages/dependencies/aplteam-APLTreeUtils-6.0.0
2021-05-23 20:55:38 (62) GET 200 /aplteam-APLProcess-0.2.4
2021-05-23 20:55:38 (63) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-05-23 20:55:38 (64) GET 200 /v1/packages/best_version/aplteam-APLProcess-0
2021-05-23 20:55:38 (65) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.3.0
2021-05-23 20:55:39 (66) GET 200 /aplteam-APLProcess-0.3.0
2021-05-23 20:55:39 (67) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.4
2021-05-23 20:55:39 (68) GET 200 /aplteam-APLProcess-0.2.4
2021-05-23 20:56:28 (69) GET 200 /v1/packages/versions/aplteam-APLTreeUtils
2021-05-23 20:56:42 (70) GET 200 /v1/packages/details/aplteam-APLTreeUtils
2021-05-23 20:56:49 (71) GET 200 /v1/packages/details/aplteam-APLTreeUtils-6
2021-05-23 20:56:59 (72) GET 200 /Assets/MarkAPL/Files/MarkAPL_screen.css
2021-05-23 20:57:10 (73) GET 200 /v1/packages/details/aplteam-APLProcess
2021-05-23 20:57:27 (74) GET 200 /v1/packages/details/aplteam-APLProcess-0
2021-05-23 20:57:29 (75) GET 200 /v1/packages/details/aplteam-APLProcess-0.2
2021-05-23 20:57:29 (76) GET 200 /v1/packages/details/aplteam-APLProcess-0.2.9
2021-05-23 20:57:40 (78) GET 200 /v1/packages/major_versions/aplteam-APLProcess
2021-05-23 20:57:46 (79) GET 200 /v1/get-server-path
2021-05-23 20:57:46 (80) PUT 401 Example-Package_A-0.1.0; Unauthorized request
2021-05-23 20:57:46 (81) GET 200 /v1/recompile-index
2021-05-23 20:57:46 (82) GET 200 /v1/get-server-path
2021-05-23 20:57:47 (83) PUT 401 ProtectedGroup-Package_A-0.1.0; Unauthorized request
2021-05-23 20:57:47 (84) GET 200 /v1/recompile-index
2021-05-23 20:57:47 (85) GET 200 /v1/get-server-path
2021-05-23 20:57:47 (86) PUT 200 test-Package_A-0.1.0
2021-05-23 20:57:48 (87) DELETE 401 test-Package_A-0.1.0; Unauthorized request
2021-05-23 20:57:48 (88) GET 200 /v1/recompile-index
2021-05-23 20:57:48 (89) GET 200 /v1/get-server-path
2021-05-23 20:57:48 (90) PUT 200 test-Package_A-0.1.0
2021-05-23 20:57:49 (91) GET 200 /v1/packages/*?aggregate=0
2021-05-23 20:57:49 (92) PUT 200 v1/set-delete-policy
2021-05-23 20:57:49 (93) DELETE 200 test-Package_A-0.1.0
2021-05-23 20:57:49 (94) GET 200 /v1/packages/*?aggregate=0
2021-05-23 20:57:49 (95) PUT 200 v1/set-delete-policy
2021-05-23 20:57:50 (96) GET 200 /v1/recompile-index
2021-05-23 20:57:50 (97) GET 200 /v1/get-server-path
2021-05-23 20:57:50 (98) PUT 200 test-Package_A-0.1.0
2021-05-23 20:57:50 (99) PUT 200 v1/set-delete-policy
2021-05-23 20:57:50 (100) DELETE 405 test-Package_A-0.1.0; This server allows only beta packages to be deleted
2021-05-23 20:57:51 (101) PUT 200 v1/set-delete-policy
2021-05-23 20:57:51 (102) GET 200 /v1/get-server-path
2021-05-23 20:57:51 (103) PUT 200 test-Package_A-0.1.0-alpha-1
2021-05-23 20:57:51 (104) GET 200 /v1/recompile-index
2021-05-23 20:57:52 (105) GET 200 /v1/packages/*?aggregate=0
2021-05-23 20:57:52 (106) PUT 200 v1/set-delete-policy
2021-05-23 20:57:52 (107) DELETE 200 test-Package_A-0.1.0-alpha-1
2021-05-23 20:57:52 (108) GET 200 /v1/packages/*?aggregate=0
2021-05-23 20:57:53 (109) GET 200 /v1/recompile-index
2021-05-23 20:57:53 (110) PUT 200 v1/set-delete-policy
2021-05-23 20:57:53 (111) GET 200 /v1/get-server-path
2021-05-23 20:57:53 (112) PUT 200 NeedsNoAPIkey-Package_M-0.1.0
2021-05-23 20:57:54 (113) GET 200 /v1/recompile-index
2021-05-23 20:57:54 (114) GET 200 /v1/get-server-path
2021-05-23 20:57:54 (115) PUT 200 test-Package_A-0.1.0
2021-05-23 20:57:54 (116) GET 200 /v1/delete-policy
2021-05-23 20:57:55 (117) GET 200 /v1/list-commands
2021-05-23 20:57:56 (118) GET 200 /v1/packages/versions/example-versions
2021-05-23 20:57:56 (119) GET 200 /v1/packages/versions/example-versions?publishingdate=1
2021-05-23 20:58:10 (120) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.12
2021-05-23 20:58:10 (121) GET 200 /aplteam-FilesAndDirs-3.2.12
