2021-06-02 08:26:42 *** Log File opened
2021-06-02 08:41:30 *** Log File opened
2021-06-02 08:46:42 (3) GET 200 /
2021-06-02 08:46:42 (3) GET 200 /Assets/CSS/screen.css
2021-06-02 08:46:42 (3) GET 200 /Assets/CSS/print.css
2021-06-02 08:46:57 (3) GET 404 /favicon.ico; 
2021-06-02 08:47:17 (2) INI file processed because it was changed on disk
2021-06-02 08:49:37 *** Log File opened
2021-06-02 08:49:41 (3) GET 200 /
2021-06-02 08:49:41 (3) GET 200 /Assets/img/tatin.png
2021-06-02 08:49:41 (4) GET 200 /Assets/CSS/screen.css
2021-06-02 08:49:41 (3) GET 200 /Assets/img/favicon.ico
2021-06-02 08:49:41 (3) GET 404 /Assets/img/background.png; File not found
2021-06-02 08:49:41 (4) GET 200 /Assets/CSS/print.css
2021-06-02 08:49:45 (3) GET 200 /v1/packages
2021-06-02 08:49:45 (3) GET 200 /Assets/CSS/screen.css
2021-06-02 08:49:45 (4) GET 200 /Assets/img/tatin.png
2021-06-02 08:49:45 (3) GET 404 /Assets/img/background.png; File not found
2021-06-02 08:49:45 (4) GET 200 /Assets/CSS/print.css
2021-06-02 08:49:47 (3) GET 200 /v1/packages/major_versions/aplteam-APLTreeUtils2
2021-06-02 08:49:47 (3) GET 200 /Assets/CSS/screen.css
2021-06-02 08:49:47 (4) GET 200 /Assets/img/tatin.png
2021-06-02 08:49:47 (3) GET 404 /Assets/img/background.png; File not found
2021-06-02 08:49:47 (4) GET 200 /Assets/CSS/print.css
2021-06-02 09:51:26 (5) GET 200 /v1/packages/versions/example-versions
2021-06-02 09:51:27 (6) GET 200 /v1/packages/versions/example-versions?publishingdate=1
2021-06-02 09:53:25 (7) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.12
2021-06-02 09:53:26 (8) GET 200 /aplteam-FilesAndDirs-3.2.12
2021-06-02 10:32:33 *** Log File opened
2021-06-02 17:33:01 *** Log File opened
2021-06-02 18:34:55 (3) GET 200 /v1/get-server-path
2021-06-02 18:35:40 (4) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.10
2021-06-02 18:35:40 (5) GET 200 /aplteam-APLProcess-0.2.10
2021-06-02 18:35:41 (6) GET 200 /v1/packages/dependencies/Example-Boo-1.0.0
2021-06-02 18:35:41 (7) GET 200 /Example-Boo-1.0.0
2021-06-02 18:35:48 (8) GET 404 /v1/packages/Example-Constants-1.0.0?aggregate=1; 
2021-06-02 18:35:55 (9) GET 404 /v1/packages/Math?aggregate=1; Package not found
2021-06-02 18:35:56 (10) GET 404 /v1/packages/MyDepartment-Math-2.0.0?aggregate=1; 
2021-06-02 18:42:58 (11) GET 200 /v1/get-server-path
2021-06-02 18:43:31 (12) GET 200 /v1/get-server-path
2021-06-02 18:44:58 (13) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.10
2021-06-02 18:44:58 (14) GET 200 /aplteam-APLProcess-0.2.10
2021-06-02 18:44:59 (15) GET 200 /v1/packages/dependencies/Example-Boo-1.0.0
2021-06-02 18:44:59 (16) GET 200 /Example-Boo-1.0.0
2021-06-02 18:45:30 (17) GET 404 /v1/packages/Example-Constants-1.0.0?aggregate=1; 
2021-06-02 18:45:39 (18) GET 404 /v1/packages/Math?aggregate=1; Package not found
2021-06-02 18:45:40 (19) GET 404 /v1/packages/MyDepartment-Math-2.0.0?aggregate=1; 
2021-06-02 18:47:42 (20) GET 200 /v1/get-server-path
2021-06-02 18:48:23 (21) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.10
2021-06-02 18:48:24 (22) GET 200 /aplteam-APLProcess-0.2.10
2021-06-02 18:48:24 (23) GET 200 /v1/packages/dependencies/Example-Boo-1.0.0
2021-06-02 18:48:24 (24) GET 200 /Example-Boo-1.0.0
2021-06-02 18:48:31 (25) GET 404 /v1/packages/Example-Constants-1.0.0?aggregate=1; 
2021-06-02 18:48:38 (26) GET 404 /v1/packages/Math?aggregate=1; Package not found
2021-06-02 18:48:39 (27) GET 404 /v1/packages/MyDepartment-Math-2.0.0?aggregate=1; 
2021-06-02 18:49:07 (28) GET 200 /
2021-06-02 18:49:07 (29) GET 404 /aplteam-DoesNotExist-1.9.2; 
2021-06-02 18:49:08 (30) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-06-02 18:49:08 (31) GET 404 /does_not_exist; 
2021-06-02 18:49:08 (32) GET 200 /index.html
2021-06-02 18:49:08 (33) Request came from invalid version of Tatin. Minimum version required is 0.4
2021-06-02 18:49:09 (35) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.2
2021-06-02 18:49:09 (36) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-06-02 18:49:11 (37) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.12
2021-06-02 18:49:11 (38) GET 200 /aplteam-FilesAndDirs-3.2.12
2021-06-02 18:49:13 (39) GET 200 /v1/packages/*?aggregate=1
2021-06-02 18:49:13 (40) GET 200 /v1/packages/versions/aplteam-APLProcess-0.2
2021-06-02 18:49:13 (41) GET 200 /v1/packages/versions/aplteam-APLProcess-1.0
2021-06-02 18:49:13 (42) GET 200 /v1/tags/
2021-06-02 18:49:14 (43) GET 200 /v1/packages/*?aggregate=1
2021-06-02 18:49:14 (44) GET 200 /v1/packages/*?tags=winndow&aggregate=1
2021-06-02 18:49:14 (45) GET 200 /v1/packages/*?group=aplteam&tags=winndow&aggregate=1
2021-06-02 18:49:14 (46) GET 200 /v1/get-server-path
2021-06-02 18:49:15 (47) PUT 200 Example-Package_A-0.1.0-beta-2
2021-06-02 18:49:15 (48) GET 200 /v1/recompile-index
2021-06-02 18:49:16 (49) GET 200 /v1/get-server-path
2021-06-02 18:49:16 (50) PUT 200 Example-Package_A-0.1.0
2021-06-02 18:49:17 (51) GET 200 /v1/recompile-index
2021-06-02 18:49:17 (52) GET 200 /v1/get-server-path
2021-06-02 18:49:17 (53) PUT 200 Example-Package_A-0.1.0
2021-06-02 18:49:18 (54) GET 200 /v1/recompile-index
2021-06-02 18:49:18 (55) GET 200 /v1/get-server-path
2021-06-02 18:49:18 (56) PUT 200 Example-Package_A-0.1.0
2021-06-02 18:49:18 (57) GET 200 /v1/packages/dependencies/Example-Package_A-0.1.0
2021-06-02 18:49:18 (58) GET 200 /Example-Package_A-0.1.0
2021-06-02 18:49:19 (59) GET 200 /v1/recompile-index
2021-06-02 18:49:19 (60) GET 200 /v1/get-server-path
2021-06-02 18:49:20 (61) PUT 200 Example-Package_A-0.1.0
2021-06-02 18:49:20 (62) PUT 400 Example-Package_A-0.1.0; The package has already been published
2021-06-02 18:49:20 (63) GET 200 /v1/recompile-index
2021-06-02 18:49:20 (64) GET 200 /v1/packages/dependencies/example-Zoo-3.0.0
2021-06-02 18:49:20 (65) GET 200 /v1/packages/dependencies/elsewhere-Boo-3.1.2
2021-06-02 18:49:21 (66) GET 200 /v1/packages/dependencies/elsewhere-strange-1.0.0
2021-06-02 18:49:21 (67) GET 200 /v1/packages/best_version/aplteam-APLProcess-0
2021-06-02 18:49:21 (68) GET 200 /v1/get-server-path
2021-06-02 18:49:21 (69) GET 200 /v1/packages/best_version/aplteam-APLProcess-0.2
2021-06-02 18:49:21 (70) GET 200 /v1/get-server-path
2021-06-02 18:49:21 (71) GET 200 /v1/packages/best_version/aplteam-APLProcess-0.2.11
2021-06-02 18:49:22 (72) GET 200 /v1/packages/best_version/example-versions-1
2021-06-02 18:49:22 (73) GET 200 v1/packages/details/aplteam-OS-2.0.0
2021-06-02 18:49:22 (74) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.4
2021-06-02 18:49:22 (75) GET 200 /aplteam-APLProcess-0.2.4
2021-06-02 18:49:23 (76) GET 200 /v1/packages/aplteam-APLProcess-0.2.4?aggregate=1
2021-06-02 18:49:23 (77) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.4
2021-06-02 18:49:24 (78) GET 200 /v1/packages/dependencies/aplteam-APLTreeUtils-6.0.0
2021-06-02 18:49:24 (79) GET 200 /aplteam-APLProcess-0.2.4
2021-06-02 18:49:24 (80) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-06-02 18:49:24 (81) GET 200 /v1/packages/best_version/aplteam-APLProcess-0
2021-06-02 18:49:25 (82) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.3.0
2021-06-02 18:49:25 (83) GET 200 /aplteam-APLProcess-0.3.0
2021-06-02 18:49:25 (84) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.4
2021-06-02 18:49:25 (85) GET 200 /aplteam-APLProcess-0.2.4
2021-06-02 18:49:27 (86) GET 200 /v1/packages/versions/aplteam-APLTreeUtils
2021-06-02 18:49:27 (87) GET 200 /v1/packages/details/aplteam-APLTreeUtils
2021-06-02 18:49:27 (88) GET 200 /v1/packages/details/aplteam-APLTreeUtils-6
2021-06-02 18:49:27 (89) GET 200 /Assets/MarkAPL/Files/MarkAPL_screen.css
2021-06-02 18:49:28 (90) GET 200 /v1/packages/details/aplteam-APLProcess
2021-06-02 18:49:28 (91) GET 200 /v1/packages/details/aplteam-APLProcess-0
2021-06-02 18:49:28 (92) GET 200 /v1/packages/details/aplteam-APLProcess-0.2
2021-06-02 18:49:28 (93) GET 200 /v1/packages/details/aplteam-APLProcess-0.2.9
2021-06-02 18:49:29 (95) GET 200 /v1/packages/major_versions/aplteam-APLProcess
2021-06-02 18:49:30 (96) GET 200 /v1/get-server-path
2021-06-02 18:49:30 (97) PUT 401 Example-Package_A-0.1.0; Unauthorized request
2021-06-02 18:49:30 (98) GET 200 /v1/recompile-index
2021-06-02 18:49:30 (99) GET 200 /v1/get-server-path
