2021-01-26 11:22:49 *** Log File opened
2021-01-26 11:28:09 (3) GET 200 /
2021-01-26 11:28:09 (4) GET 404 /aplteam-DoesNotExist-1.9.2; 
2021-01-26 11:28:09 (5) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-01-26 11:28:09 (6) GET 404 /does_not_exist; 
2021-01-26 11:28:10 (7) GET 200 /index.html
2021-01-26 11:28:10 (8) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.2
2021-01-26 11:28:10 (9) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-01-26 11:28:10 (10) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-01-26 11:28:11 (11) GET 200 /aplteam-IniFiles-4.0.0
2021-01-26 11:28:11 (12) GET 200 /aplteam-OS-2.0.0
2021-01-26 11:28:11 (13) GET 200 /aplteam-Tester2-2.2.2
2021-01-26 11:28:11 (14) GET 200 /aplteam-WinSys-4.0.0
2021-01-26 11:28:12 (15) GET 200 /v1/packages/*?aggregate=1
2021-01-26 11:28:12 (16) GET 200 /v1/packages/versions/aplteam-APLProcess-0.2
2021-01-26 11:28:12 (17) GET 200 /v1/packages/versions/aplteam-APLProcess-1.0
2021-01-26 11:28:12 (18) GET 200 /v1/tags/
2021-01-26 11:28:12 (19) GET 200 /v1/packages/*?aggregate=1
2021-01-26 11:28:13 (20) GET 200 /v1/packages/*?tags=winndow&aggregate=1
2021-01-26 11:28:13 (21) GET 200 /v1/packages/*?group=aplteam&tags=winndow&aggregate=1
2021-01-26 11:28:13 (22) GET 200 /v1/get-server-path
2021-01-26 11:28:14 (23) PUT 200 Example-Package_A-0.1.0
2021-01-26 11:28:14 (24) GET 200 /v1/recompile-index
2021-01-26 11:28:14 (25) GET 200 /v1/get-server-path
2021-01-26 11:28:15 (26) PUT 200 Example-Package_A-0.1.0
2021-01-26 11:28:16 (27) GET 200 /v1/recompile-index
2021-01-26 11:28:16 (28) GET 200 /v1/get-server-path
2021-01-26 11:28:16 (29) PUT 200 Example-Package_A-0.1.0
2021-01-26 11:28:17 (30) GET 200 /v1/recompile-index
2021-01-26 11:28:17 (31) GET 200 /v1/get-server-path
2021-01-26 11:28:17 (32) PUT 200 Example-Package_A-0.1.0
2021-01-26 11:28:17 (33) PUT 400 Example-Package_A-0.1.0; The package has already been published
2021-01-26 11:28:18 (34) GET 200 /v1/recompile-index
2021-01-26 11:28:18 (35) GET 200 /v1/packages/dependencies/example-Zoo-3.0.0
2021-01-26 11:28:18 (36) GET 200 /v1/packages/dependencies/elsewhere-Boo-3.1.2
2021-01-26 11:28:18 (37) GET 200 /v1/packages/dependencies/elsewhere-strange-1.0.0
2021-01-26 11:28:18 (38) GET 200 /v1/packages/best_version/aplteam-APLProcess-0
2021-01-26 11:28:19 (39) GET 200 /v1/packages/best_version/aplteam-APLProcess-0.2
2021-01-26 11:28:19 (40) GET 200 /v1/packages/best_version/aplteam-APLProcess-0.2.11
2021-01-26 11:28:19 (41) GET 200 /v1/packages/aplteam-APLProcess-0.2.12?aggregate=1
2021-01-26 11:28:20 (42) GET 200 v1/packages/details/aplteam-OS-2.0.0
2021-01-26 11:28:20 (43) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.4
2021-01-26 11:28:20 (44) GET 200 /aplteam-APLProcess-0.2.4
2021-01-26 11:28:20 (45) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-01-26 11:28:21 (46) GET 200 /v1/packages/aplteam-APLProcess-0.2.4?aggregate=1
2021-01-26 11:28:21 (47) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.4
2021-01-26 11:28:21 (48) GET 200 /aplteam-APLProcess-0.2.4
2021-01-26 11:28:22 (49) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-01-26 11:28:22 (50) GET 200 /v1/packages/best_version/aplteam-APLProcess-0
2021-01-26 11:28:23 (51) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.3.0
2021-01-26 11:28:23 (52) GET 200 /aplteam-APLProcess-0.3.0
2021-01-26 11:28:23 (53) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-01-26 11:28:23 (54) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.4
2021-01-26 11:28:23 (55) GET 200 /aplteam-APLProcess-0.2.4
2021-01-26 11:28:24 (56) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-01-26 11:28:24 (57) GET 200 /
2021-01-26 11:28:24 (58) GET 200 /v1/packages
2021-01-26 11:28:24 (59) GET 200 /v1/groups
2021-01-26 11:28:25 (60) GET 200 /v1/packages/versions/aplteam-APLTreeUtils
2021-01-26 11:28:25 (61) GET 200 /v1/packages/details/aplteam-APLTreeUtils
2021-01-26 11:28:25 (62) GET 200 /v1/packages/details/aplteam-APLTreeUtils-6
2021-01-26 11:28:25 (63) GET 200 /Assets/img/tatin.png
2021-01-26 11:28:25 (64) GET 200 /Assets/CSS/MarkAPL_screen.css
2021-01-26 11:28:25 (65) PATCH 501 /Foo; Not implemented
2021-01-26 11:28:26 (66) GET 200 /v1/packages/details/aplteam-APLProcess
2021-01-26 11:28:26 (67) GET 200 /v1/packages/details/aplteam-APLProcess-0
2021-01-26 11:28:26 (68) GET 200 /v1/packages/details/aplteam-APLProcess-0.2
2021-01-26 11:28:26 (69) GET 200 /v1/packages/details/aplteam-APLProcess-0.2.9
2021-01-26 11:28:26 (71) GET 200 /v1/tags
2021-01-26 11:28:27 (72) GET 200 /v1/packages/major_versions/aplteam-APLProcess
2021-01-26 11:28:27 (73) GET 200 /v1/get-server-path
2021-01-26 11:28:27 (74) PUT 401 Example-Package_A-0.1.0; Unauthorized request
2021-01-26 11:28:27 (75) GET 200 /v1/recompile-index
2021-01-26 11:28:27 (76) GET 200 /v1/list-commands
2021-01-27 09:11:41 (77) GET 200 /
2021-01-27 09:11:41 (78) GET 404 /aplteam-DoesNotExist-1.9.2; 
2021-01-27 09:11:42 (79) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-01-27 09:11:42 (80) GET 404 /does_not_exist; 
2021-01-27 09:11:42 (81) GET 200 /index.html
2021-01-27 09:11:42 (82) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.2
2021-01-27 09:11:42 (83) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-01-27 09:11:43 (84) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-01-27 09:11:43 (85) GET 200 /aplteam-IniFiles-4.0.0
2021-01-27 09:11:43 (86) GET 200 /aplteam-OS-2.0.0
2021-01-27 09:11:44 (87) GET 200 /aplteam-Tester2-2.2.2
2021-01-27 09:11:44 (88) GET 200 /aplteam-WinSys-4.0.0
2021-01-27 09:11:44 (89) GET 200 /v1/packages/*?aggregate=1
2021-01-27 09:11:44 (90) GET 200 /v1/packages/versions/aplteam-APLProcess-0.2
2021-01-27 09:11:45 (91) GET 200 /v1/packages/versions/aplteam-APLProcess-1.0
2021-01-27 09:11:45 (92) GET 200 /v1/tags/
2021-01-27 09:11:45 (93) GET 200 /v1/packages/*?aggregate=1
2021-01-27 09:11:45 (94) GET 200 /v1/packages/*?tags=winndow&aggregate=1
2021-01-27 09:11:45 (95) GET 200 /v1/packages/*?group=aplteam&tags=winndow&aggregate=1
2021-01-27 09:11:46 (96) GET 200 /v1/get-server-path
2021-01-27 09:11:46 (97) PUT 200 Example-Package_A-0.1.0
2021-01-27 09:11:46 (98) GET 200 /v1/recompile-index
2021-01-27 09:11:47 (99) GET 200 /v1/get-server-path
2021-01-27 09:11:47 (100) PUT 200 Example-Package_A-0.1.0
2021-01-27 09:11:48 (101) GET 200 /v1/recompile-index
2021-01-27 09:11:48 (102) GET 200 /v1/get-server-path
2021-01-27 09:11:48 (103) PUT 200 Example-Package_A-0.1.0
2021-01-27 09:11:49 (104) GET 200 /v1/recompile-index
2021-01-27 09:11:49 (105) GET 200 /v1/get-server-path
2021-01-27 09:11:50 (106) PUT 200 Example-Package_A-0.1.0
2021-01-27 09:11:50 (107) PUT 400 Example-Package_A-0.1.0; The package has already been published
2021-01-27 09:11:50 (108) GET 200 /v1/recompile-index
2021-01-27 09:11:50 (109) GET 200 /v1/packages/dependencies/example-Zoo-3.0.0
2021-01-27 09:11:50 (110) GET 200 /v1/packages/dependencies/elsewhere-Boo-3.1.2
2021-01-27 09:11:51 (111) GET 200 /v1/packages/dependencies/elsewhere-strange-1.0.0
