2021-01-21 09:46:10 *** Log File opened
2021-01-21 09:46:43 *** Log File opened
2021-01-21 09:47:21 *** Log File opened
2021-01-21 11:37:37 *** Log File opened
2021-01-21 11:50:52 *** Log File opened
2021-01-21 11:53:05 *** Log File opened
2021-01-21 19:55:47 (2) INI file processed because it was changed on disk
2021-01-21 19:56:07 (5) GET 200 /
2021-01-21 19:56:09 (6) GET 404 /aplteam-DoesNotExist-1.9.2; 
2021-01-21 19:56:09 (7) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-01-21 19:56:09 (8) GET 404 /does_not_exist; 
2021-01-21 19:56:09 (9) GET 200 /index.html
2021-01-21 19:56:10 (10) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.2
2021-01-21 19:56:10 (11) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-01-21 19:56:10 (12) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-01-21 19:56:10 (13) GET 200 /aplteam-IniFiles-4.0.0
2021-01-21 19:56:11 (14) GET 200 /aplteam-OS-2.0.0
2021-01-21 19:56:11 (15) GET 200 /aplteam-Tester2-2.2.2
2021-01-21 19:56:11 (16) GET 200 /aplteam-WinSys-4.0.0
2021-01-21 19:56:12 (17) GET 200 /v1/packages/*?aggregate=1
2021-01-21 19:56:12 (18) GET 200 /v1/packages/versions/aplteam-APLProcess-0.2
2021-01-21 19:56:12 (19) GET 200 /v1/packages/versions/aplteam-APLProcess-1.0
2021-01-21 19:56:12 (20) GET 200 /v1/tags/
2021-01-21 19:56:12 (21) GET 200 /v1/packages/*?aggregate=1
2021-01-21 19:56:13 (22) GET 200 /v1/packages/*?tags=winndow&aggregate=1
2021-01-21 19:56:13 (23) GET 200 /v1/packages/*?group=aplteam&tags=winndow&aggregate=1
2021-01-21 19:56:13 (24) GET 200 /v1/get-server-path
2021-01-21 19:56:14 (25) PUT 200 Example-Package_A-0.1.0
2021-01-21 19:56:14 (26) GET 200 /v1/recompile-index
2021-01-21 19:56:14 (27) GET 200 /v1/get-server-path
2021-01-21 19:56:15 (28) PUT 200 Example-Package_A-0.1.0
2021-01-21 19:56:15 (29) GET 200 /v1/recompile-index
2021-01-21 19:56:15 (30) GET 200 /v1/get-server-path
2021-01-21 19:56:16 (31) PUT 200 Example-Package_A-0.1.0
2021-01-21 19:56:16 (32) GET 200 /v1/recompile-index
2021-01-21 19:56:17 (33) GET 200 /v1/get-server-path
2021-01-21 19:56:17 (34) PUT 200 Example-Package_A-0.1.0
2021-01-21 19:56:17 (35) PUT 400 Example-Package_A-0.1.0; The package has already been published
2021-01-21 19:56:17 (36) GET 200 /v1/recompile-index
2021-01-21 19:56:18 (37) GET 200 /v1/packages/dependencies/example-Zoo-3.0.0
2021-01-21 19:56:18 (38) GET 200 /v1/packages/dependencies/elsewhere-Boo-3.1.2
2021-01-21 19:56:18 (39) GET 200 /v1/packages/dependencies/elsewhere-strange-1.0.0
2021-01-21 19:56:18 (40) GET 200 /v1/packages/best_version/aplteam-APLProcess-0
2021-01-21 19:56:18 (41) GET 200 /v1/packages/best_version/aplteam-APLProcess-0.2
2021-01-21 19:56:18 (42) GET 200 /v1/packages/best_version/aplteam-APLProcess-0.2.11
2021-01-21 20:00:10 *** Log File opened
2021-01-21 20:00:43 (2) GET 200 /
2021-01-21 20:00:44 (3) GET 404 /aplteam-DoesNotExist-1.9.2; 
2021-01-21 20:00:44 (4) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-01-21 20:00:44 (5) GET 404 /does_not_exist; 
