2021-04-24 19:16:28 *** Log File opened
2021-04-24 19:17:11 (4) GET 200 /v1/get-server-path
2021-04-24 19:33:36 (5) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.10
2021-04-24 19:33:36 (6) GET 200 /aplteam-APLProcess-0.2.10
2021-04-24 19:33:36 (7) GET 200 /v1/packages/dependencies/Example-Boo-1.0.0
2021-04-24 19:33:37 (8) GET 200 /Example-Boo-1.0.0
2021-04-24 19:33:43 (9) GET 404 /v1/packages/Example-Constants-1.0.0?aggregate=1; 
2021-04-24 19:33:56 (10) GET 404 /v1/packages/Math?aggregate=1; Package not found
2021-04-24 19:34:04 (11) GET 404 /v1/packages/MyDepartment-Math-2.0.0?aggregate=1; 
2021-04-24 19:34:40 (12) GET 200 /
2021-04-24 19:34:40 (13) GET 404 /aplteam-DoesNotExist-1.9.2; 
2021-04-24 19:34:40 (14) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-04-24 19:34:40 (15) GET 404 /does_not_exist; 
2021-04-24 19:34:40 (16) GET 200 /index.html
2021-04-24 19:34:41 (17) Request came from invalid version of Tatin. Minimum version required is 0.36
2021-04-24 19:34:43 (19) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.2
2021-04-24 19:34:43 (20) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-04-24 19:34:44 (21) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.12
2021-04-24 19:34:45 (22) GET 200 /aplteam-FilesAndDirs-3.2.12
2021-04-24 19:34:47 (23) GET 200 /v1/packages/*?aggregate=1
2021-04-24 19:34:47 (24) GET 200 /v1/packages/versions/aplteam-APLProcess-0.2
2021-04-24 19:34:47 (25) GET 200 /v1/packages/versions/aplteam-APLProcess-1.0
2021-04-24 19:34:47 (26) GET 200 /v1/tags/
2021-04-24 19:34:47 (27) GET 200 /v1/packages/*?aggregate=1
2021-04-24 19:34:48 (28) GET 200 /v1/packages/*?tags=winndow&aggregate=1
2021-04-24 19:34:48 (29) GET 200 /v1/packages/*?group=aplteam&tags=winndow&aggregate=1
2021-04-24 19:34:48 (30) GET 200 /v1/get-server-path
2021-04-24 19:34:48 (31) PUT 200 Example-Package_A-0.1.0-beta-2
2021-04-24 19:34:49 (32) GET 200 /v1/recompile-index
2021-04-24 19:34:49 (33) GET 200 /v1/get-server-path
2021-04-24 19:34:50 (34) PUT 200 Example-Package_A-0.1.0
2021-04-24 19:34:50 (35) GET 200 /v1/recompile-index
2021-04-24 19:34:50 (36) GET 200 /v1/get-server-path
2021-04-24 19:34:51 (37) PUT 200 Example-Package_A-0.1.0
2021-04-24 19:34:51 (38) GET 200 /v1/recompile-index
2021-04-24 19:34:51 (39) GET 200 /v1/get-server-path
2021-04-24 19:34:52 (40) PUT 200 Example-Package_A-0.1.0
2021-04-24 19:34:52 (41) GET 200 /v1/packages/dependencies/Example-Package_A-0.1.0
2021-04-24 19:34:52 (42) GET 200 /Example-Package_A-0.1.0
2021-04-24 19:34:52 (43) GET 200 /v1/recompile-index
2021-04-24 19:34:53 (44) GET 200 /v1/get-server-path
2021-04-24 19:34:53 (45) PUT 200 Example-Package_A-0.1.0
2021-04-24 19:34:53 (46) PUT 400 Example-Package_A-0.1.0; The package has already been published
2021-04-24 19:34:53 (47) GET 200 /v1/recompile-index
2021-04-24 19:34:54 (48) GET 200 /v1/packages/dependencies/example-Zoo-3.0.0
2021-04-24 19:34:54 (49) GET 200 /v1/packages/dependencies/elsewhere-Boo-3.1.2
2021-04-24 19:34:54 (50) GET 200 /v1/packages/dependencies/elsewhere-strange-1.0.0
2021-04-24 19:34:54 (51) GET 200 /v1/packages/best_version/aplteam-APLProcess-0
2021-04-24 19:34:54 (52) GET 200 /v1/get-server-path
2021-04-24 19:34:54 (53) GET 200 /v1/packages/best_version/aplteam-APLProcess-0.2
2021-04-24 19:34:55 (54) GET 200 /v1/get-server-path
2021-04-24 19:34:55 (55) GET 200 /v1/packages/best_version/aplteam-APLProcess-0.2.11
2021-04-24 19:34:55 (56) GET 200 /v1/packages/best_version/example-versions-1
2021-04-24 19:34:55 (57) GET 200 v1/packages/details/aplteam-OS-2.0.0
2021-04-24 19:34:55 (58) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.4
2021-04-24 19:34:55 (59) GET 200 /aplteam-APLProcess-0.2.4
2021-04-24 19:34:56 (60) GET 200 /v1/packages/aplteam-APLProcess-0.2.4?aggregate=1
2021-04-24 19:34:56 (61) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.4
2021-04-24 19:34:57 (62) GET 200 /v1/packages/dependencies/aplteam-APLTreeUtils-6.0.0
2021-04-24 19:34:57 (63) GET 200 /aplteam-APLProcess-0.2.4
2021-04-24 19:34:57 (64) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-04-24 19:34:58 (65) GET 200 /v1/packages/best_version/aplteam-APLProcess-0
2021-04-24 19:34:58 (66) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.3.0
2021-04-24 19:34:58 (67) GET 200 /aplteam-APLProcess-0.3.0
2021-04-24 19:34:59 (68) GET 200 /v1/packages/dependencies/aplteam-APLProcess-0.2.4
2021-04-24 19:34:59 (69) GET 200 /aplteam-APLProcess-0.2.4
2021-04-24 19:34:59 (70) GET 200 /
2021-04-24 19:34:59 (71) GET 200 /v1/packages
2021-04-24 19:35:00 (72) GET 200 /v1/groups
2021-04-24 19:35:00 (73) GET 200 /v1/packages/versions/aplteam-APLTreeUtils
2021-04-24 19:35:00 (74) GET 200 /v1/packages/details/aplteam-APLTreeUtils
2021-04-24 19:35:00 (75) GET 200 /v1/packages/details/aplteam-APLTreeUtils-6
2021-04-24 19:35:00 (76) GET 200 /Assets/img/tatin.png
2021-04-24 19:35:00 (77) GET 200 /Assets/MarkAPL/Files/MarkAPL_screen.css
2021-04-24 19:35:01 (78) PATCH 501 /Foo; Not implemented
2021-04-24 19:35:01 (79) GET 200 /v1/packages/details/aplteam-APLProcess
2021-04-24 19:35:01 (80) GET 200 /v1/packages/details/aplteam-APLProcess-0
2021-04-24 19:35:01 (81) GET 200 /v1/packages/details/aplteam-APLProcess-0.2
2021-04-24 19:35:01 (82) GET 200 /v1/packages/details/aplteam-APLProcess-0.2.9
2021-04-24 19:35:02 (84) GET 200 /v1/tags
2021-04-24 19:35:02 (85) GET 200 /v1/packages/major_versions/aplteam-APLProcess
2021-04-24 19:35:03 (86) GET 200 /v1/version-information
2021-04-24 19:35:03 (87) GET 200 /v1/documentation
2021-04-24 19:35:03 (88) GET 200 /v1/all_packages
2021-04-24 19:35:03 (89) GET 200 /v1/version
2021-04-24 19:35:03 (90) GET 200 /v1/get-server-path
2021-04-24 19:35:04 (91) PUT 401 Example-Package_A-0.1.0; Unauthorized request
2021-04-24 19:35:04 (92) GET 200 /v1/recompile-index
2021-04-24 19:35:04 (93) GET 200 /v1/get-server-path
2021-04-24 19:35:04 (94) PUT 401 protected-Package_A-0.1.0; Unauthorized request
2021-04-24 19:35:04 (95) GET 200 /v1/recompile-index
2021-04-24 19:35:05 (96) GET 200 /v1/get-server-path
2021-04-24 19:35:05 (97) PUT 200 test-Package_A-0.1.0
2021-04-24 19:35:05 (98) DELETE 401 test-Package_A-0.1.0; Unauthorized request
2021-04-24 19:35:05 (99) GET 200 /v1/recompile-index
2021-04-24 19:35:06 (100) GET 200 /v1/get-server-path
2021-04-24 19:35:06 (101) PUT 200 test-Package_A-0.1.0
2021-04-24 19:35:06 (102) GET 200 /v1/packages/*?aggregate=0
2021-04-24 19:35:06 (103) PUT 200 v1/set-delete-policy
2021-04-24 19:35:06 (104) DELETE 200 test-Package_A-0.1.0
2021-04-24 19:35:07 (105) GET 200 /v1/packages/*?aggregate=0
2021-04-24 19:35:07 (106) PUT 200 v1/set-delete-policy
2021-04-24 19:35:07 (107) GET 200 /v1/recompile-index
2021-04-24 19:35:07 (108) GET 200 /v1/get-server-path
2021-04-24 19:35:08 (109) PUT 200 test-Package_A-0.1.0
2021-04-24 19:35:08 (110) PUT 200 v1/set-delete-policy
2021-04-24 19:35:08 (111) DELETE 405 test-Package_A-0.1.0; This server allows only beta packages to be deleted
2021-04-24 19:35:08 (112) PUT 200 v1/set-delete-policy
2021-04-24 19:35:08 (113) GET 200 /v1/get-server-path
2021-04-24 19:35:09 (114) PUT 200 test-Package_A-0.1.0-alpha-1
2021-04-24 19:35:09 (115) GET 200 /v1/recompile-index
2021-04-24 19:35:09 (116) GET 200 /v1/packages/*?aggregate=0
2021-04-24 19:35:09 (117) PUT 200 v1/set-delete-policy
2021-04-24 19:35:09 (118) DELETE 200 test-Package_A-0.1.0-alpha-1
2021-04-24 19:35:10 (119) GET 200 /v1/packages/*?aggregate=0
2021-04-24 19:35:10 (120) GET 200 /v1/recompile-index
2021-04-24 19:35:10 (121) PUT 200 v1/set-delete-policy
2021-04-24 19:35:10 (122) GET 200 /v1/get-server-path
2021-04-24 19:35:11 (123) PUT 200 test-Package_A-0.1.0
2021-04-24 19:35:11 (124) GET 200 /v1/delete-policy
2021-04-24 19:35:11 (125) GET 200 /index.html
2021-04-24 19:35:11 (126) GET 200 /v1/list-commands
2021-04-24 19:36:29 (127) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.12
2021-04-24 19:36:30 (128) GET 200 /aplteam-FilesAndDirs-3.2.12
2021-04-24 19:36:54 (129) GET 200 /v1/shutdown
2021-04-24 19:36:54 (0) Tatin Server is shutting down
2021-04-24 19:36:54 (0) *** Log file closed
